district,school,last_year
Capitol West Academy,Capitol West Academy,2019-20
Cudahy,Park View Elementary,2021-22
Franklin Public,Milwaukee County Correctional Facility South,2022-23
Milwaukee,Andrew Douglas School,2018-19
Milwaukee,Daniel Webster Secondary School,2018-19
Milwaukee,Daniels University Preparatory Academy,2020-21
Milwaukee,Grant Elementary,2023-24
Milwaukee,Green Bay Avenue School,2018-19
Milwaukee,Lee Learning Center,2018-19
Milwaukee,Milwaukee Community Cyber High,2019-20
Milwaukee,Milwaukee Excellence Charter School,2023-24
Milwaukee,NOVA Tech-Northwest Opportunities Vocational Academy Technical High,2018-19
Milwaukee,Southeastern,2023-24
Milwaukee Collegiate Academy,Milwaukee Collegiate Academy,2018-19
Penfield Montessori Academy,Penfield Montessori Academy,2022-23
Saint Francis,Elkhorn Options Virtual School,2021-22
School for Early Development and Achievement (SEDA),School for Early Development and Achievement (SEDA),2018-19
West Allis-West Milwaukee,Hoover Elementary,2023-24
West Allis-West Milwaukee,Lane Intermediate,2022-23
West Allis-West Milwaukee,Longfellow Elementary,2022-23
West Allis-West Milwaukee,Madison Elementary,2022-23
West Allis-West Milwaukee,Shared Journeys,2023-24
